tag,pattern,response
Mevcut İşim,i̇ş yer söylemek,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mevcut İşim,an iş pozisyon,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mail Adresim,mail adres paylaşmak,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Eğitim Geçmişim,lise bilgi vermek,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Yaşım,yaş,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Hobilerim,boş zaman,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Yabancı Dillerim,dil yetenek,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Projelerim,chatbot proje detay,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Adresim,yaşamak yer nere,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
İş Deneyimim,yıl yazılım gelişmek,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Projelerim,proje yer almak,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
İş Deneyimim,teknoloji çalışmak,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kendimi Tanıtayım,alaka bilgi vermek,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Eğitim Geçmişim,diploma sahip,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Projelerim,5g mini pc proje,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kendimi Tanıtayım,tanışmak,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,şehir yaşamak,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Adresim,i̇kamet adres nere,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Yaşım,yaş,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Kendimi Tanıtayım,tanımak,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,oturmak semt paylaşmak,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Yabancı Dillerim,yabancı dil bilgin,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Projelerim,redis caching proje hak bilgi vermek,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Adresim,i̇kametgahın nere,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Becerilerim,web gelişmek alan deneyim,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Eğitim Geçmişim,diploma nere,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
İş Deneyimim,şirket çalışmak,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kariyer Hedeflerim,gelecek plan,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Eğitim Geçmişim,üniversite gitmek,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Kariyer Hedeflerim,yeni teknoloji zaman çalışmak istemek,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Becerilerim,teknoloji hâkim,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Yabancı Dillerim,i̇ngilizce akmak düzey,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Adresim,ev adres,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
İş Deneyimim,i̇ş geçmiş özetlemek,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Mail Adresim,profesyonel mail adres,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Becerilerim,framework'leri kullanmak,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Hobilerim,kitap okur,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Adresim,şehir ülke konum,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Hobilerim,kod dış vakit geçirmek,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Kariyer Hedeflerim,profesyonel gitmek istemek,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
İş Deneyimim,proje anlamak,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Eğitim Geçmişim,yüksek lisans,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Projelerim,son üzeri çalışmak,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Yaşım,zaman doğmak,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Hobilerim,müzik dinlemek sevmek,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Becerilerim,back-end teknoloji bilmek,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Becerilerim,frontend backend yetkin,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Kariyer Hedeflerim,gelecek proje yer almak istemek,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mevcut İşim,mevcut iş yer nere,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Yaşım,yaş söylemek,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Hobilerim,boş vakit ilgilenmek,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Projelerim,pardus taban cihaz proje hak bilgi vermek,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kendimi Tanıtayım,bilgi vermek,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Eğitim Geçmişim,lise gitmek,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Eğitim Geçmişim,mezun üniversite,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Eğitim Geçmişim,okul geçmiş paylaşmak,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Kendimi Tanıtayım,hak bilgi vermek,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,fizik adres,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Eğitim Geçmişim,mezun okul,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Yaşım,yaş öğrenmek,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Becerilerim,programlamak dil kulladın,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Mail Adresim,e-posta bilgi vermek lütfen,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Kendimi Tanıtayım,anlamak,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yabancı Dillerim,yabancı dil becermek,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Mevcut İşim,iş,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mail Adresim,i̇letişim mail,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Yabancı Dillerim,yabancı dil sertifika,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Kendimi Tanıtayım,tanımak,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Mevcut İşim,şirket çalışmak,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Hobilerim,yemek hoşlanmak,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Yaşım,yaş,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,yaşamak şehir,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Yabancı Dillerim,dil konuşmak,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Hobilerim,spor sanat ilgilenmek,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Eğitim Geçmişim,üniversite bölüm bilgi vermek,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Adresim,yaşamak,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Kariyer Hedeflerim,lider pozisyon düşünmek,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mail Adresim,mesaj atmak,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
