tag,pattern,response
Yaşım,Yaşınızı nasıl belirtirsiniz?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yabancı Dillerim,Hangi dilleri konuşuyorsun?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Kariyer Hedeflerim,Hangi alanda uzmanlaşmak istiyorsun?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mail Adresim,Profesyonel e-posta adresin ne?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Projelerim,Kredi karşılaştırma projesini açıklar mısın?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kariyer Hedeflerim,İleride ne yapmak istiyorsun?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mevcut İşim,İş yerini söyler misin?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mevcut İşim,Şu anki iş pozisyonun nedir?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mail Adresim,Mail adresini paylaşır mısın?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Eğitim Geçmişim,Lise bilgisi ver.,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Yaşım,Yaşın nedir?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Hobilerim,Boş zamanlarında neler yaparsın?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Kendimi Tanıtayım,Sen kimsin?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yabancı Dillerim,Dil yeteneklerin neler?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Projelerim,Chatbot projesi detayları neler?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Adresim,Yaşadığın yer neresi?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
İş Deneyimim,Kaç yıldır yazılım geliştiricisin?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Projelerim,Hangi projelerde yer aldın?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
İş Deneyimim,Hangi teknolojilerle çalıştın?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kendimi Tanıtayım,Kendinle alakalı bilgi verir misin?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Eğitim Geçmişim,Hangi diplomaya sahipsin?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Projelerim,5G Mini PC projesi nedir?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kendimi Tanıtayım,Tanışabilir miyiz?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,Hangi şehirde yaşıyorsun?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Adresim,İkamet adresin nerede?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Yaşım,Yaş,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Kendimi Tanıtayım,Kendini tanıtır mısın?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,Oturduğun semti paylaşır mısın?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Yabancı Dillerim,Yabancı dil bilgin nedir?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Projelerim,Redis caching projesi hakkında bilgi verir misin?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Adresim,İkametgahın nerede?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Becerilerim,Web geliştirme alanında deneyimin var mı?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Eğitim Geçmişim,Diploman nerede?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
İş Deneyimim,Hangi şirketlerde çalıştın?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Kariyer Hedeflerim,Gelecek planların nedir?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Eğitim Geçmişim,Hangi üniversiteye gittin?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Kariyer Hedeflerim,Yeni teknolojilerle ne zaman çalışmak istiyorsun?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Becerilerim,Hangi teknolojilere hakimsin?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Yabancı Dillerim,İngilizce akıcılığın ne düzeyde?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Adresim,Ev adresin nedir?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
İş Deneyimim,İş geçmişini özetler misin?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Mail Adresim,Profesyonel mail adresin hangisi?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Becerilerim,Hangi framework’leri kullanıyorsun?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Hobilerim,Kitap okur musun?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Adresim,Şehir/ülke konumun nedir?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Hobilerim,Kod dışında vakit nasıl geçirirsin?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Kariyer Hedeflerim,Profesyonel olarak nereye gitmek istiyorsun?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
İş Deneyimim,Projelerini anlatır mısın?,"Toplamda 1 yıldır aktif olarak yazılım sektöründe çalışıyorum. Öncesinde Vakıfbank şirketinde 2 ay 'Full-Stack Developer' olarak staj deneyimim bulunuyor. 1 yıldır ise Aral bünyesinde bulunan Hometech firmasında web sitelerinin yönetimini sağlıyorum. Bunun yanında bulut platformları, görüntü işleme ve yapay zeka gibi yenilikçi alanlarda çalışıyorum."
Eğitim Geçmişim,Yüksek lisans yaptın mı?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Projelerim,En son ne üzerinde çalıştın?,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Yaşım,Ne zaman doğdun?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Hobilerim,Müzik dinlemeyi sever misin?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Becerilerim,Hangi back-end teknolojilerini biliyorsun?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Becerilerim,Frontend ve backend yetkinliklerin nedir?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Kariyer Hedeflerim,Gelecekte hangi projelerde yer almak istersin?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mevcut İşim,Mevcut iş yerin neresi?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Yaşım,Yaşını söyle,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Hobilerim,Boş vakitlerinde nelerle ilgilenirsin?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Projelerim,Pardus tabanlı cihaz projesi hakkında bilgi ver.,Bitirme projem olarak yapay zeka ile kullanıcıların postür analizini gerçekleştiren bir mobil uygulama geliştirdim. Staj projem olarak ise 'Hangi Kredi' benzeri bir full-stack web uygulaması geliştirdim. Şu anda ise çeşitli alanlarda farklı projeler geliştiriyorum. Geçmiş ve devam eden projelerimin detayları için sürekli güncellediğim github profilimi ziyaret edebilirsiniz.
Kendimi Tanıtayım,Senin ile ilgili bilgi ver.,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Eğitim Geçmişim,Hangi liseye gittin?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Eğitim Geçmişim,Mezun olduğun üniversite hangisi?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Eğitim Geçmişim,Okul geçmişini paylaşır mısın?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Kendimi Tanıtayım,Kendin hakkında bilgi ver.,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,Fiziksel adresin nedir?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Eğitim Geçmişim,Mezun olduğun okul hangisi?,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Yaşım,Yaşınızı öğrenebilir miyim?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Becerilerim,Hangi programlama dillerini kulladın?,"Web geliştirme (hem Back-end hem Front-end), mobil uygulama geliştirme ve yapay zeka alanlarında deneyime sahibim. Back-end tarafında C# ile .NET Framework ve ASP .NET Core Web API kullanarak, MySQL ve MSSQL tabanlı veri modelleri üzerinde çalıştım; Entity Framework ile ORM uygulamaları geliştirip, n-katmanlı mimariler tasarladım; Redis ile önbellekleme çözümleri oluşturdum. Front-end geliştirmede HTML5, CSS3 ve modern JavaScript (ES6+) ile temelden başlayarak, Angular framework ve TypeScript ile ölçeklenebilir kullanıcı arayüzleri inşa ettim; Bootstrap ile hızlı prototipleme yaptım. Mobil alanda Java ile Android uygulamaları geliştirdim ve yapay zeka projelerinde model eğitimi, entegrasyonu ve optimizasyon süreçlerine katkı sağladım."
Mail Adresim,E-posta bilgini ver lütfen.,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Kendimi Tanıtayım,Kendini anlat.,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Yabancı Dillerim,Yabancı dil becerin nedir?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Mevcut İşim,Nerede iş yapıyorsun?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Mail Adresim,İletişim mailin ne?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
Yabancı Dillerim,Yabancı dil sertifikaların var mı?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Kendimi Tanıtayım,Kendini tanıt.,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Mevcut İşim,Hangi şirket için çalışıyorsun?,2024 Haziran ayından beri ARAL bünyesinde bulunan Hometech firmasında Ar-Ge merkezinde yazılım geliştirici olarak görev yapıyorum.
Hobilerim,Yemek yapmaktan hoşlanır mısın?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Yaşım,Kaç yaşındasın?,"11 Haziran 2001 tarihinde doğumluyum, şu anda 24 yaşındayım."
Adresim,Yaşadığın şehir hangisi?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Yabancı Dillerim,Kaç dil konuşuyorsun?,Ana dilim Türkçe; İngilizce’yi orta düzeyde (B2) kullanıyorum.
Hobilerim,Spor veya sanatla ilgileniyor musun?,"Boş zamanlarımda yürüyüş yapmayı, bilgisayar oyunları oynamayı ve fotoğrafçılık yapmayı seviyorum."
Eğitim Geçmişim,Üniversite ve bölüm bilgisi ver.,2015 yılında başladığım Adile Mermerci Anadolu Lisesi'nden 2019 yılında mezun oldum. Aynı yıl başladığım Kocaeli Üniversitesi Bilgisayar Mühendisliği bölümünde ise lisansımı 2023 yılında tamamladım.
Adresim,Nerede yaşıyorsun?,Türkiye'de İstanbul ilinin Zeytinburnu ilçesinde ikamet ediyorum.
Kariyer Hedeflerim,Liderlik pozisyonu düşünür müsün?,Uzun vadede 'Senior Full-Stack Developer' olmak istiyorum. Uzun vadede “Senior Full-Stack Developer” olmak istiyorum. Bu hedefe ulaşmak için hem teknik derinliğimi hem de liderlik yeteneklerimi sürekli beslemeyi planlıyorum.
Mail Adresim,Sana nasıl mesaj atabilirim?,Bana ulaşabileceğiniz e-posta adresim ebasaran999@gmail.com.
